City,Type,Area,Price,Purpose,Location,Built in year,Bedrooms,Bathrooms,price,Area_sqft,price_category,property_age_group,price_per_sqft,region
karachi,house,500 Sq. Yd.,"PKR
20 Crore",For Sale,"DHA Defence, Karachi, Sindh",2019.0,4.0,6.0,200000000.0,4500.0,High,New,44444.444444444445,Sindh
karachi,house,500 Sq. Yd.,"PKR
14 Crore",For Sale,"DHA Defence, Karachi, Sindh",2017.0,6.0,6.0,140000000.0,4500.0,High,New,31111.11111111111,Sindh
karachi,house,550 Sq. Yd.,"PKR
25 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,6.0,6.0,250000000.0,4950.0,Luxury,New,50505.0505050505,Sindh
karachi,flat,167 Sq. Yd.,"PKR
4 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,3.0,3.0,40000000.0,1503.0,Mid,,26613.43978709248,Sindh
karachi,flat,111 Sq. Yd.,"PKR
2.75 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,2.0,2.0,27500000.0,999.0,Mid,,27527.527527527527,Sindh
karachi,house,"1,008 Sq. Yd.","PKR
14.5 Crore",For Sale,"Zamzama, Karachi, Sindh",1995.0,,,145000000.0,9072.0,High,Old,15983.245149911816,Sindh
karachi,house,120 Sq. Yd.,"PKR
1.9 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,5.0,5.0,19000000.0,1080.0,Mid,,17592.59259259259,Sindh
karachi,house,160 Sq. Yd.,"PKR
3.7 Crore",For Sale,"Naya Nazimabad, Karachi, Sindh",,3.0,3.0,37000000.0,1440.0,Mid,,25694.444444444445,Sindh
karachi,flat,111 Sq. Yd.,"PKR
3.1 Crore",For Sale,"DHA Defence, Karachi, Sindh",2019.0,1.0,3.0,31000000.0,999.0,Mid,New,31031.03103103103,Sindh
karachi,flat,131 Sq. Yd.,"PKR
5.2 Crore",For Sale,"DHA Defence, Karachi, Sindh",2023.0,2.0,3.0,52000000.0,1179.0,High,New,44105.17387616624,Sindh
karachi,flat,83 Sq. Yd.,"PKR
38 Lakh",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2017.0,2.0,2.0,3800000.0,747.0,Low,New,5087.014725568943,Sindh
karachi,flat,194 Sq. Yd.,"PKR
5.1 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,3.0,4.0,51000000.0,1746.0,High,Moderate,29209.621993127148,Sindh
karachi,flat,122 Sq. Yd.,"PKR
1.05 Crore",For Sale,"Gadap Town, Karachi, Sindh",2023.0,2.0,2.0,10500000.0,1098.0,Mid,New,9562.841530054644,Sindh
karachi,flat,94 Sq. Yd.,"PKR
1.05 Crore",For Sale,"North Nazimabad, Karachi, Sindh",,2.0,2.0,10500000.0,846.0,Mid,,12411.347517730497,Sindh
karachi,flat,156 Sq. Yd.,"PKR
80 Lakh",For Sale,"Bahria Town Karachi, Karachi, Sindh",,2.0,3.0,8000000.0,1404.0,Low,,5698.005698005698,Sindh
karachi,house,235 Sq. Yd.,"PKR
1.3 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2007.0,3.0,3.0,13000000.0,2115.0,Mid,Moderate,6146.572104018913,Sindh
karachi,flat,222 Sq. Yd.,"PKR
3 Crore",For Sale,"Malir Link To Super Highway, Karachi, Sindh",2024.0,3.0,3.0,30000000.0,1998.0,Mid,New,15015.015015015015,Sindh
karachi,flat,210 Sq. Yd.,"PKR
2.7 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2024.0,3.0,3.0,27000000.0,1890.0,Mid,New,14285.714285714286,Sindh
karachi,flat,356 Sq. Yd.,"PKR
11 Crore",For Sale,"Bath Island, Karachi, Sindh",2024.0,4.0,5.0,110000000.0,3204.0,High,New,34332.084893882646,Sindh
karachi,house,120 Sq. Yd.,"PKR
4 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,4.0,4.0,40000000.0,1080.0,Mid,,37037.03703703704,Sindh
karachi,flat,317 Sq. Yd.,"PKR
9.15 Crore",For Sale,"Clifton, Karachi, Sindh",,4.0,4.0,91500000.0,2853.0,High,,32071.50368033649,Sindh
karachi,flat,200 Sq. Yd.,"PKR
2.75 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2024.0,,,27500000.0,1800.0,Mid,New,15277.777777777777,Sindh
karachi,house,500 Sq. Yd.,"PKR
21.75 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,5.0,6.0,217500000.0,4500.0,Luxury,New,48333.333333333336,Sindh
karachi,house,240 Sq. Yd.,"PKR
7.5 Crore",For Sale,"Clifton, Karachi, Sindh",2020.0,4.0,4.0,75000000.0,2160.0,High,New,34722.22222222222,Sindh
karachi,house,500 Sq. Yd.,"PKR
18 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,6.0,7.0,180000000.0,4500.0,High,New,40000.0,Sindh
karachi,house,14 Sq. Yd.,"PKR
3.8 Crore",For Sale,"Naya Nazimabad, Karachi, Sindh",2025.0,4.0,5.0,38000000.0,126.0,Mid,New,301587.3015873016,Sindh
karachi,house,120 Sq. Yd.,"PKR
3.45 Crore",For Sale,"Naya Nazimabad, Karachi, Sindh",2025.0,4.0,5.0,34500000.0,1080.0,Mid,New,31944.444444444445,Sindh
karachi,flat,122 Sq. Yd.,"PKR
85 Lakh",For Sale,"Bahria Town Karachi, Karachi, Sindh",,2.0,2.0,8500000.0,1098.0,Low,,7741.347905282331,Sindh
karachi,house,120 Sq. Yd.,"PKR
2.3 Crore",For Sale,"Scheme 33, Karachi, Sindh",,4.0,4.0,23000000.0,1080.0,Mid,,21296.296296296296,Sindh
karachi,house,80 Sq. Yd.,"PKR
2.65 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,11.0,7.0,26500000.0,720.0,Mid,,36805.555555555555,Sindh
